,row_close,levelCounter,trial_set,row_start,time_secs,ptcp,feedbackType,correctCounter,Change Flag
1225,136814,10.0,2,133282.0,26.55639097744361,tsvr16,none,10.0,136814
1226,139018,11.0,2,138568.0,3.3834586466165413,tsvr16,congruent,11.0,139017
1227,141196,12.0,2,140757.0,3.300751879699248,tsvr16,incongruent,12.0,141196
1228,143419,13.0,2,142909.0,3.8345864661654137,tsvr16,none,13.0,143419
1229,145645,14.0,2,145145.0,3.7593984962406015,tsvr16,incongruent,14.0,145645
1230,148524,15.0,2,147971.0,4.157894736842105,tsvr16,congruent,15.0,148524
1231,152507,16.0,2,152061.0,3.3533834586466167,tsvr16,none,16.0,152507
1232,154779,17.0,2,154284.0,3.7218045112781954,tsvr16,none,17.0,154779
1233,157072,18.0,2,156618.0,3.4135338345864663,tsvr16,none,18.0,157072
1234,159262,19.0,2,158821.0,3.3157894736842106,tsvr16,none,19.0,159262
1235,161723,20.0,2,161242.0,3.6165413533834587,tsvr16,none,20.0,161723
1236,164028,21.0,2,163532.0,3.7293233082706765,tsvr16,congruent,21.0,164028
1237,166893,22.0,2,166347.0,4.105263157894737,tsvr16,incongruent,22.0,166893
1238,172877,23.0,2,168888.0,29.992481203007518,tsvr16,congruent,23.0,172877
1239,174992,24.0,2,174565.0,3.210526315789474,tsvr16,none,24.0,174992
1240,177137,25.0,2,176700.0,3.2857142857142856,tsvr16,incongruent,25.0,177137
1241,182965,26.0,2,178872.0,30.774436090225564,tsvr16,congruent,26.0,182965
1242,185127,27.0,2,184693.0,3.263157894736842,tsvr16,congruent,27.0,185127
1243,187687,28.0,2,187234.0,3.406015037593985,tsvr16,none,,
1244,190117,29.0,2,189682.0,3.2706766917293235,tsvr16,incongruent,28.0,190117
1245,195093,30.0,2,194601.0,3.699248120300752,tsvr16,incongruent,29.0,195093
1246,197330,31.0,2,196894.0,3.2781954887218046,tsvr16,congruent,30.0,197330
1247,200117,32.0,2,199670.0,3.3609022556390977,tsvr16,congruent,31.0,200117
1248,202862,33.0,2,202412.0,3.3834586466165413,tsvr16,incongruent,32.0,202862
1249,205236,34.0,2,204777.0,3.4511278195488724,tsvr16,congruent,33.0,205236
1250,207065,35.0,2,207065.0,0.0,tsvr16,incongruent,34.0,207065
1251,211446,0.0,3,210963.0,3.6315789473684212,tsvr16,congruent,0.0,211446
1252,213782,1.0,3,213240.0,4.075187969924812,tsvr16,congruent,1.0,213782
1253,216203,2.0,3,215646.0,4.18796992481203,tsvr16,incongruent,2.0,216203
1254,219115,3.0,3,218656.0,3.4511278195488724,tsvr16,none,3.0,219115
1255,221433,4.0,3,220966.0,3.511278195488722,tsvr16,incongruent,4.0,221433
1256,224068,5.0,3,223625.0,3.330827067669173,tsvr16,congruent,5.0,224068
1257,226442,6.0,3,225967.0,3.5714285714285716,tsvr16,none,6.0,226442
1258,229034,7.0,3,228596.0,3.293233082706767,tsvr16,congruent,7.0,229034
1259,232684,8.0,3,231091.0,11.977443609022556,tsvr16,incongruent,,
1260,241604,9.0,3,235700.0,44.390977443609025,tsvr16,none,8.0,241604
1261,244296,10.0,3,243795.0,3.7669172932330826,tsvr16,congruent,9.0,244296
1262,247645,11.0,3,245985.0,12.481203007518797,tsvr16,congruent,10.0,247645
1263,249902,12.0,3,249474.0,3.218045112781955,tsvr16,incongruent,11.0,249902
1264,253566,13.0,3,252695.0,6.548872180451128,tsvr16,incongruent,12.0,253566
1265,255694,14.0,3,255274.0,3.1578947368421053,tsvr16,none,13.0,255694
1266,258481,15.0,3,257462.0,7.661654135338346,tsvr16,congruent,14.0,258480
1267,260960,16.0,3,260428.0,4.0,tsvr16,incongruent,15.0,260960
1268,263749,17.0,3,263298.0,3.3909774436090228,tsvr16,congruent,16.0,263749
1269,266007,18.0,3,265586.0,3.1654135338345863,tsvr16,incongruent,17.0,266007
1270,268707,19.0,3,268123.0,4.390977443609023,tsvr16,incongruent,18.0,268707
1271,271194,20.0,3,270766.0,3.218045112781955,tsvr16,incongruent,19.0,271194
1272,273926,21.0,3,273511.0,3.1203007518796992,tsvr16,none,20.0,273926
1273,276060,22.0,3,275639.0,3.1654135338345863,tsvr16,incongruent,21.0,276060
1274,278391,23.0,3,277954.0,3.2857142857142856,tsvr16,none,22.0,278391
1275,281566,24.0,3,281068.0,3.744360902255639,tsvr16,congruent,23.0,281566
1276,286961,25.0,3,286531.0,3.2330827067669174,tsvr16,congruent,24.0,286961
1277,289021,26.0,3,288601.0,3.1578947368421053,tsvr16,incongruent,25.0,289021
1278,291226,27.0,3,290796.0,3.2330827067669174,tsvr16,none,26.0,291226
1279,293483,28.0,3,293023.0,3.4586466165413534,tsvr16,none,27.0,293483
1280,295674,29.0,3,295218.0,3.4285714285714284,tsvr16,congruent,28.0,295674
1281,299019,30.0,3,298549.0,3.5338345864661656,tsvr16,incongruent,29.0,299019
1282,303210,31.0,3,302721.0,3.6766917293233083,tsvr16,none,,
1283,306899,32.0,3,306424.0,3.5714285714285716,tsvr16,congruent,30.0,306899
1284,311942,33.0,3,311221.0,5.421052631578948,tsvr16,none,31.0,311942
1285,315219,34.0,3,314787.0,3.2481203007518795,tsvr16,none,32.0,315219
1286,2845,0.0,1,2135.0,5.338345864661654,tsvr15,none,0.0,2845
1287,7384,1.0,1,4467.0,21.93233082706767,tsvr15,congruent,1.0,7384
1288,9601,2.0,1,9081.0,3.9097744360902253,tsvr15,incongruent,2.0,9601
1289,12160,3.0,1,11484.0,5.082706766917293,tsvr15,congruent,,
1290,14775,4.0,1,14009.0,5.7593984962406015,tsvr15,none,3.0,14775
1291,18112,5.0,1,17439.0,5.06015037593985,tsvr15,incongruent,4.0,18112
1292,21294,6.0,1,20679.0,4.62406015037594,tsvr15,none,5.0,21294
1293,23704,7.0,1,22912.0,5.954887218045113,tsvr15,congruent,6.0,23704
1294,30101,8.0,1,29436.0,5.0,tsvr15,incongruent,7.0,30101
1295,32489,9.0,1,32046.0,3.330827067669173,tsvr15,congruent,8.0,32489
1296,34855,10.0,1,34286.0,4.2781954887218046,tsvr15,incongruent,9.0,34855
1297,37100,11.0,1,36577.0,3.9323308270676693,tsvr15,none,10.0,37100
1298,39369,12.0,1,38815.0,4.165413533834586,tsvr15,none,,
1299,42024,13.0,1,41221.0,6.037593984962406,tsvr15,incongruent,11.0,42024
1300,45306,14.0,1,44748.0,4.195488721804511,tsvr15,congruent,12.0,45306
