,row_close,levelCounter,trial_set,row_start,time_secs,ptcp,feedbackType,correctCounter,Change Flag
231,45894,15.0,1,45465.0,3.225563909774436,tsvr07,incongruent,15.0,45894
232,48026,16.0,1,47604.0,3.172932330827068,tsvr07,incongruent,16.0,48026
233,50069,17.0,1,49639.0,3.2330827067669174,tsvr07,congruent,17.0,50069
234,52362,18.0,1,51898.0,3.488721804511278,tsvr07,none,18.0,52362
235,55059,19.0,1,54588.0,3.5413533834586466,tsvr07,none,19.0,55059
236,57288,20.0,1,56866.0,3.172932330827068,tsvr07,incongruent,20.0,57288
237,59346,21.0,1,58917.0,3.225563909774436,tsvr07,congruent,21.0,59346
238,62070,22.0,1,61642.0,3.218045112781955,tsvr07,incongruent,22.0,62070
239,64505,23.0,1,64072.0,3.255639097744361,tsvr07,none,23.0,64505
240,70407,24.0,1,69980.0,3.210526315789474,tsvr07,incongruent,24.0,70407
241,72753,25.0,1,72324.0,3.225563909774436,tsvr07,none,25.0,72753
242,74970,26.0,1,74541.0,3.225563909774436,tsvr07,incongruent,26.0,74970
243,77138,27.0,1,76694.0,3.338345864661654,tsvr07,congruent,27.0,77138
244,79234,28.0,1,78800.0,3.263157894736842,tsvr07,none,28.0,79234
245,81862,29.0,1,81428.0,3.263157894736842,tsvr07,congruent,29.0,81862
246,84669,30.0,1,84239.0,3.2330827067669174,tsvr07,congruent,,
247,86892,31.0,1,86462.0,3.2330827067669174,tsvr07,none,30.0,86892
248,89119,32.0,1,88636.0,3.6315789473684212,tsvr07,none,31.0,89119
249,95793,33.0,1,95364.0,3.225563909774436,tsvr07,none,32.0,95793
250,98268,34.0,1,97830.0,3.293233082706767,tsvr07,none,33.0,98268
251,100019,35.0,1,,,tsvr07,congruent,34.0,100019
252,102571,0.0,2,102116.0,3.4210526315789473,tsvr07,none,0.0,102571
253,105149,1.0,2,104601.0,4.120300751879699,tsvr07,incongruent,,
254,107255,2.0,2,106818.0,3.2857142857142856,tsvr07,incongruent,1.0,107255
255,109886,3.0,2,109376.0,3.8345864661654137,tsvr07,none,2.0,109886
256,112443,4.0,2,112003.0,3.308270676691729,tsvr07,none,3.0,112443
257,114733,5.0,2,114242.0,3.691729323308271,tsvr07,incongruent,4.0,114732
258,120973,6.0,2,120520.0,3.406015037593985,tsvr07,incongruent,5.0,120973
259,123473,7.0,2,123037.0,3.2781954887218046,tsvr07,incongruent,6.0,123473
260,125713,8.0,2,125258.0,3.4210526315789473,tsvr07,congruent,7.0,125713
261,127849,9.0,2,127411.0,3.293233082706767,tsvr07,congruent,8.0,127849
262,130338,10.0,2,129888.0,3.3834586466165413,tsvr07,incongruent,9.0,130338
263,133066,11.0,2,132568.0,3.744360902255639,tsvr07,none,10.0,133066
264,135249,12.0,2,134817.0,3.2481203007518795,tsvr07,none,11.0,135249
265,137460,13.0,2,137012.0,3.3684210526315788,tsvr07,none,12.0,137460
266,139681,14.0,2,139232.0,3.3759398496240602,tsvr07,none,13.0,139681
267,141989,15.0,2,141557.0,3.2481203007518795,tsvr07,none,14.0,141989
268,144187,16.0,2,143741.0,3.3533834586466167,tsvr07,congruent,15.0,144187
269,146515,17.0,2,146084.0,3.2406015037593985,tsvr07,incongruent,16.0,146515
270,148652,18.0,2,148215.0,3.2857142857142856,tsvr07,congruent,17.0,148652
271,153356,19.0,2,152927.0,3.225563909774436,tsvr07,congruent,18.0,153356
272,155646,20.0,2,155215.0,3.2406015037593985,tsvr07,congruent,19.0,155646
273,158243,21.0,2,157809.0,3.263157894736842,tsvr07,congruent,20.0,158243
274,161057,22.0,2,160559.0,3.744360902255639,tsvr07,incongruent,21.0,161057
275,165293,23.0,2,164819.0,3.56390977443609,tsvr07,incongruent,22.0,165293
276,175737,24.0,2,167577.0,61.35338345864662,tsvr07,none,23.0,175737
277,178347,25.0,2,177918.0,3.225563909774436,tsvr07,congruent,24.0,178347
278,182450,26.0,2,181876.0,4.315789473684211,tsvr07,congruent,25.0,182450
279,184783,27.0,2,184163.0,4.661654135338346,tsvr07,none,26.0,184783
280,187396,28.0,2,186643.0,5.661654135338346,tsvr07,incongruent,,
281,192617,29.0,2,192069.0,4.120300751879699,tsvr07,congruent,27.0,192617
282,195094,30.0,2,194643.0,3.3909774436090228,tsvr07,incongruent,28.0,195094
283,197329,31.0,2,196893.0,3.2781954887218046,tsvr07,congruent,29.0,197329
284,199585,32.0,2,199113.0,3.5488721804511276,tsvr07,none,30.0,199585
